name ,type, ra,dec
Gaia16aua ,SIDERAL, 213.194935025,-59.561199219
Gaia16bnn ,SIDERAL, 277.675880959,-37.0713734522
Gaia17ahl ,SIDERAL, 260.052988867,-43.9005412345
Gaia17aqu ,SIDERAL, 116.093200315,-28.4434295442
Gaia17bbi ,SIDERAL, 283.09162044,-15.7178100939
Gaia17bej ,SIDERAL, 274.254399999,-31.3835225072
Gaia17bts ,SIDERAL, 17.2196536004,73.8962501204
Gaia17byk ,SIDERAL, 258.797641548,-33.0435629602
Gaia17bzb ,SIDERAL, 265.552891328,-36.3240681497
Gaia17bzd ,SIDERAL, 263.314582697,-31.2514360646
Gaia17cad ,SIDERAL, 265.12827068,-26.7587673304
Gaia17cbm ,SIDERAL, 275.22850681,-12.8748428028
Gaia17ccl ,SIDERAL, 254.425771075,-21.9102395271
Gaia17cda ,SIDERAL, 265.062619874,-46.497837542
Gaia17cdc ,SIDERAL, 262.774834987,-50.9580137739
Gaia17cdh ,SIDERAL, 259.634604993,-35.1946475253
Gaia17chc ,SIDERAL, 181.679627794,-57.4615659139
Gaia17ctl ,SIDERAL, 271.400212825,-33.6097241943
Gaia17cvl ,SIDERAL, 272.848054269,-31.3040545475
Gaia17cwc ,SIDERAL, 275.404678453,1.14012316942
Gaia17ddi ,SIDERAL, 295.100066587,28.101173863
Gaia17ddp ,SIDERAL, 293.585167227,28.201425473
Gaia18aip ,SIDERAL, 279.06929428,5.53662906516
Gaia18ajt ,SIDERAL, 267.133263816,-35.0880165341
Gaia18aju ,SIDERAL, 268.922724849,-29.220125424
Gaia18ajz ,SIDERAL, 277.560251704,-8.2202064384
Gaia18akk ,SIDERAL, 272.473077976,-33.6527009552
Gaia18alf ,SIDERAL, 278.940253266,-13.8724958957
Gaia18atk ,SIDERAL, 275.15949779,-18.6614619645
Gaia18axk ,SIDERAL, 337.31323098,56.9295601855
Gaia18bdf ,SIDERAL, 290.965370086,-9.387163415
Gaia18beb ,SIDERAL, 279.883121258,-16.9319851055
Gaia18beh ,SIDERAL, 274.32406743,-11.13347797
Gaia18bmt ,SIDERAL, 214.014777758,-56.9134044416
Gaia18cbf ,SIDERAL, 241.161900532,-41.1048259579
Gaia18ccd ,SIDERAL, 265.247732105,-46.6538263477
Gaia18ccq ,SIDERAL, 260.427474989,-36.6219306379
Gaia18ccz ,SIDERAL, 257.649095238,-31.7423528121
Gaia18cdv ,SIDERAL, 259.439524552,-26.6944844721
Gaia18cdx ,SIDERAL, 271.526708799,-40.2799283866
Gaia18cel ,SIDERAL, 273.329963429,-39.1388901197
Gaia18ces ,SIDERAL, 269.265762719,-33.9360790742
Gaia18cff ,SIDERAL, 268.919058773,-32.3580501997
Gaia18chm ,SIDERAL, 271.01587174,-15.4148419362
Gaia18chq ,SIDERAL, 271.439100209,-12.0145521881
Gaia18cib ,SIDERAL, 279.114833942,-16.578302236
Gaia18cik ,SIDERAL, 278.379880444,-3.40325188679
Gaia18cjh ,SIDERAL, 285.338358266,-11.4045361491
Gaia18cjk ,SIDERAL, 283.788053979,-6.66353433636
