name,Gaia alert name,Calib server name,Gaiadr2 id,ra,dec,type,Classification,Priority,Cadence,Tweet,Jdlastobs
Gaia19ewp,Gaia19ewp,ivo://Gaia19ewp,2415935424875883776,359.646663318,-15.9509574124 ,SIDERAL,Microlensing,0,100,false,0
Gaia19exh,Gaia19exh,ivo://Gaia19exh,5326124523559762560,140.23510689,-48.995203138 ,SIDERAL,Microlensing,0,100,false,0
Gaia19exm,Gaia19exm,ivo://Gaia19exm,5305175803411265664,134.318332609,-55.2924041047 ,SIDERAL,Microlensing,0,100,false,0
Gaia19exy,Gaia19exy,ivo://Gaia19exy,5329647908585974528,132.927966919,-46.5016468632 ,SIDERAL,Microlensing,0,100,false,0
Gaia19ezg,Gaia19ezg,ivo://Gaia19ezg,5529808296696591232,127.458869179,-37.9047280113 ,SIDERAL,Microlensing,0,100,false,0
Gaia19ezx,Gaia19ezx,ivo://Gaia19ezx,5544771653521223040,122.949607185,-35.1567332615 ,SIDERAL,Microlensing,0,100,false,0
Gaia19fag,Gaia19fag,ivo://Gaia19fag,2729282494896602752,337.24175629,10.420149471 ,SIDERAL,Microlensing,0,100,false,0
Gaia19fbl,Gaia19fbl,ivo://Gaia19fbl,1825441884882247296,292.786704102,19.362313603 ,SIDERAL,Microlensing,0,100,false,0
Gaia19fby,Gaia19fby,ivo://Gaia19fby,4314275514792395520,286.33265526,13.4089409649 ,SIDERAL,Microlensing,0,100,false,0
Gaia19fdg,Gaia19fdg,ivo://Gaia19fdg,4483187846838864384,272.197296939,11.2925740187 ,SIDERAL,Microlensing,0,100,false,0
